SampleID	Name	Plant_ID	Type	Experiment	Cohort	Harvested	Age	Site	Treatment	Line	Genotype	Block	oldPlate	newPlate	Analysis
M1960P1252	19_C_9.soil	19_C_9	soil	rilGH	NA	2012	NA	GRH	SADsoil	NA	soil	b19	p213	M1960	BCMA
M1956P902	19_D_10.root	19_D_10	root	rilGH	NA	2012	NA	GRH	SADsoil	190	ril	b19	p209	M1956	BCMA
M1960P1272	19_D_12.root	19_D_12	root	rilGH	NA	2012	NA	GRH	SADsoil	188	ril	b19	p213	M1960	BCMA
M1690P1404	19_D_3.root	19_D_3	root	rilGH	NA	2012	NA	GRH	SADsoil	105	ril	b19	p215	M1690	BCMA
M1958P1055	19_D_4.root	19_D_4	root	rilGH	NA	2012	NA	GRH	SADsoil	148	ril	b19	p211	M1958	BCMA
M1960P1210	19_D_6.root	19_D_6	root	rilGH	NA	2012	NA	GRH	SADsoil	30	ril	b19	p213	M1960	BCMA
M1690P1395	19_D_7.root	19_D_7	root	rilGH	NA	2012	NA	GRH	SADsoil	2	ril	b19	p215	M1690	BCMA
M1961P1316	19_D_8.root	19_D_8	root	rilGH	NA	2012	NA	GRH	SADsoil	4	ril	b19	p214	M1961	BCMA
M1961P1330	2_B_1.root	2_B_1	root	ecoGH	NA	2011	NA	Duke	MAHsoil	silLow6B	SIL	b02	p214	M1961	Ecotypes
M1958P1026	2_B_12.root	2_B_12	root	ecoGH	NA	2011	NA	Duke	MAHsoil	mah48A	MAH	b02	p211	M1958	Ecotypes
M1959P1195	2_B_2.root	2_B_2	root	ecoGH	NA	2011	NA	Duke	MAHsoil	par13A	PAR	b02	p212	M1959	Ecotypes
M1961P1293	2_B_3.root	2_B_3	root	ecoGH	NA	2011	NA	Duke	MAHsoil	silLow6B	SIL	b02	p214	M1961	Ecotypes
M1959P1158	2_B_5.soil	2_B_5	soil	ecoGH	NA	2011	NA	Duke	MAHsoil	soil	soil	b02	p212	M1959	Ecotypes
M1959P1183	2_B_7.root	2_B_7	root	ecoGH	NA	2011	NA	Duke	MAHsoil	silUpp2B	SIL	b02	p212	M1959	Ecotypes
M1958P1098	2_B_8.root	2_B_8	root	ecoGH	NA	2011	NA	Duke	MAHsoil	jam40A	JAM	b02	p211	M1958	Ecotypes
M1957P991	2_C_4.root	2_C_4	root	ecoGH	NA	2011	NA	Duke	MAHsoil	mah48A	MAH	b02	p210	M1957	Ecotypes
M1690P1387	2_C_6.root	2_C_6	root	ecoGH	NA	2011	NA	Duke	MAHsoil	par9A2	PAR	b02	p215	M1690	Ecotypes
M1957P1012	2_C_9.root	2_C_9	root	ecoGH	NA	2011	NA	Duke	MAHsoil	jam1A	JAM	b02	p210	M1957	Ecotypes
M1960P1244	2_D_2.root	2_D_2	root	ecoGH	NA	2011	NA	Duke	MAHsoil	par9A2	PAR	b02	p213	M1960	Ecotypes
M1958P1031	2_D_9.root	2_D_9	root	ecoGH	NA	2011	NA	Duke	MAHsoil	mil70A	MIL	b02	p211	M1958	Ecotypes
M1960P1236	20_A_2.root	20_A_2	root	rilGH	NA	2012	NA	GRH	SADsoil	3	ril	b20	p213	M1960	BCMA
M1955P815	20_A_5.root	20_A_5	root	rilGH	NA	2012	NA	GRH	SADsoil	37	ril	b20	p208	M1955	BCMA
M1956P900	20_A_6.root	20_A_6	root	rilGH	NA	2012	NA	GRH	SADsoil	90	ril	b20	p209	M1956	BCMA
M1956P850	20_A_8.root	20_A_8	root	rilGH	NA	2012	NA	GRH	SADsoil	140	ril	b20	p209	M1956	BCMA
M1958P1088	20_A_9.root	20_A_9	root	rilGH	NA	2012	NA	GRH	SADsoil	48	ril	b20	p211	M1958	BCMA
M1957P930	20_B_1.root	20_B_1	root	rilGH	NA	2012	NA	GRH	SADsoil	127	ril	b20	p210	M1957	BCMA
M1977P1731	20_B_10.root	20_B_10	root	rilGH	NA	2012	NA	GRH	SADsoil	102	ril	b20	p217	M1977	BCMA
M1955P784	20_B_12.soil	20_B_12	soil	rilGH	NA	2012	NA	GRH	SADsoil	NA	soil	b20	p208	M1955	BCMA
